GUALIQUOTID,analyte,dl,value,detected,units,category,statvals
ACU117648A,BDE 17,,0.0314,True,ng/g ww,BDEs,0.0314
ACU117649A,BDE 17,0.008,,False,ng/g ww,BDEs,0.008
ACU117650A,BDE 17,,0.0472,True,ng/g ww,BDEs,0.0472
ACU117651A,BDE 17,0.009,,False,ng/g ww,BDEs,0.009
ACU117652A,BDE 17,,0.0379,True,ng/g ww,BDEs,0.0379
ACU117653A,BDE 17,0.008,,False,ng/g ww,BDEs,0.008
ACU117654A,BDE 17,0.009,,False,ng/g ww,BDEs,0.009
ACU117655A,BDE 17,,0.0222,True,ng/g ww,BDEs,0.0222
ACU117656A,BDE 17,,0.146,True,ng/g ww,BDEs,0.146
ACU117657A,BDE 17,0.009,,False,ng/g ww,BDEs,0.009
ACU117658A,BDE 17,,0.0291,True,ng/g ww,BDEs,0.0291
ACU117659A,BDE 17,,0.00984,True,ng/g ww,BDEs,0.00984
ACU117660A,BDE 17,,0.0384,True,ng/g ww,BDEs,0.0384
ACU117661A,BDE 17,,0.0498,True,ng/g ww,BDEs,0.0498
ACU117662A,BDE 17,0.009,,False,ng/g ww,BDEs,0.009
ACU117663A,BDE 17,0.009,,False,ng/g ww,BDEs,0.009
ACU117664A,BDE 17,,0.0568,True,ng/g ww,BDEs,0.0568
ACU117665A,BDE 17,0.008,,False,ng/g ww,BDEs,0.008
ACU117666A,BDE 17,,0.0172,True,ng/g ww,BDEs,0.0172
ACU117667A,BDE 17,,0.0443,True,ng/g ww,BDEs,0.0443
ACU117668A,BDE 17,0.094,,False,ng/g ww,BDEs,0.094
ACU117669A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117670A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117861A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117862A,BDE 17,0.094,,False,ng/g ww,BDEs,0.094
ACU117863A,BDE 17,0.134,,False,ng/g ww,BDEs,0.134
ACU117674A,BDE 17,0.094,,False,ng/g ww,BDEs,0.094
ACU117675A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117676A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117677A,BDE 17,0.094,,False,ng/g ww,BDEs,0.094
ACU117678A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117679A,BDE 17,0.095,,False,ng/g ww,BDEs,0.095
ACU117680A,BDE 17,0.094,,False,ng/g ww,BDEs,0.094
