GUALIQUOTID,GUSAMPLEID,COLONY_NAME,GEOGRAPHIC_AREA_STAMP,COMMON_NAME,SPECIES,LATITUDE,LONGITUDE,COLLECTION_YEAR,TYPE_OF_ANALYSIS
ACU100812A,ACU100163,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Total mercury
ACU103090A,ACU100163,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Organics
ACU100824A,ACU100164,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Total mercury
ACU103091A,ACU100164,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Organics
ACU100835A,ACU100165,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Total mercury
ACU103092A,ACU100165,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Organics
ACU100858A,ACU100167,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Total mercury
ACU103093A,ACU100167,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Organics
ACU100881A,ACU100169,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Total mercury
ACU103094A,ACU100169,St. Lazaria Isl.,Gulf of Alaska,Common murre,Uria aalge,56.986,-135.713,2008,Organics
ACU100903A,ACU100171,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Total mercury
ACU103095A,ACU100171,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Organics
ACU100914A,ACU100172,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Total mercury
ACU103096A,ACU100172,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Organics
ACU100925A,ACU100173,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Total mercury
ACU103097A,ACU100173,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Organics
ACU100936A,ACU100174,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Total mercury
ACU103098A,ACU100174,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Organics
ACU100945A,ACU100175,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Total mercury
ACU103099A,ACU100175,St. Lazaria Isl.,Gulf of Alaska,Thick-billed murre,Uria lomvia,56.986,-135.713,2008,Organics
ACU100984A,ACU100179,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Total mercury
ACU103100A,ACU100179,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Organics
ACU101046A,ACU100185,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Total mercury
ACU103101A,ACU100185,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Organics
ACU101058A,ACU100186,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Total mercury
ACU103102A,ACU100186,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Organics
ACU101092A,ACU100189,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Total mercury
ACU103103A,ACU100189,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Organics
ACU101105A,ACU100190,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Total mercury
ACU103104A,ACU100190,Little Diomede Isl.,Bering Strait,Thick-billed murre,Uria lomvia,65.753,-168.922,2008,Organics
ACU101145A,ACU100194,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Total mercury
ACU103105A,ACU100194,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Organics
ACU101158A,ACU100195,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Total mercury
ACU103106A,ACU100195,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Organics
ACU101168A,ACU100196,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Total mercury
ACU103107A,ACU100196,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Organics
ACU101180A,ACU100197,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Total mercury
ACU103108A,ACU100197,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Organics
ACU101259A,ACU100204,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Total mercury
ACU103109A,ACU100204,St. Lawrence Isl.,Bering Sea,Common murre,Uria aalge,63.66,-170.225,2008,Organics
ACU101294A,ACU100207,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Total mercury
ACU103110A,ACU100207,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Organics
ACU101307A,ACU100208,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Total mercury
ACU103111A,ACU100208,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Organics
ACU101333A,ACU100210,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Total mercury
ACU103112A,ACU100210,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Organics
ACU101370A,ACU100213,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Total mercury
ACU103113A,ACU100213,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Organics
ACU101405A,ACU100216,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Total mercury
ACU103114A,ACU100216,St. Lawrence Isl.,Bering Sea,Thick-billed murre,Uria lomvia,63.671,-170.266,2008,Organics
